Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
8,21,7,1934,AA,ATL,DFW,732,N
4,20,3,1548,US,PIT,MCO,834,N
9,2,5,1422,XE,RDU,CLE,416,N
11,25,6,1015,OO,DEN,MEM,872,N
10,7,6,1828,WN,MDW,OMA,423,Y
8,3,4,1918,NW,MEM,MCO,683,N
1,27,4,754,DL,PBI,LGA,1035,N
4,29,6,635,OH,MSP,CVG,596,N
7,28,5,735,AA,ONT,DFW,1189,N
6,20,2,2029,OO,DEN,PSC,853,N
5,21,6,1736,DL,BDL,CVG,661,N
3,5,7,1205,WN,PHX,STL,1262,N
10,6,4,2124,AS,LAS,SEA,866,N
8,20,6,737,AA,DFW,SJC,1438,N
11,10,4,1447,UA,DEN,SJC,948,N
9,20,2,1642,MQ,DSM,ORD,299,N
9,19,2,1801,CO,CMH,IAH,986,N
7,26,2,620,DL,ORF,ATL,516,N
10,14,5,1704,OO,SLC,SEA,689,Y
10,5,4,1205,US,PHX,CMH,1671,N
8,22,2,1521,AA,CLT,DFW,936,N
6,21,3,1519,EV,ATL,ILM,377,Y
11,26,6,1417,DL,GSO,ATL,306,N
11,9,3,918,DH,IAD,CMH,299,N
12,31,6,1837,DL,ATL,MSP,906,N
4,4,1,635,WN,SMF,PHX,647,N
7,3,7,1350,AA,FLL,LGA,1076,N
4,16,7,1235,WN,DAL,AUS,189,N
5,31,3,1513,MQ,ORD,SYR,607,N
4,18,1,619,AA,ORD,LAX,1745,N
8,30,3,610,YV,ITO,HNL,216,N
5,9,1,1327,AA,DFW,ORF,1213,N
1,20,5,1130,DL,ORD,CVG,264,N
12,3,7,1653,EV,ATL,MYR,317,Y
10,1,6,1454,DL,SLC,PDX,630,N
3,24,4,2303,US,CLT,CHS,168,Y
5,6,5,1728,WN,SAN,SMF,480,Y
5,5,4,650,EV,ROA,ATL,357,N
1,28,5,2046,MQ,LGA,DTW,501,N
